epoch: 1 loss: tensor(1.8238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.2545, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(354.0626, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9955, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.7106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1294, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(51.7629, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9906, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.9251, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2460, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9251, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(105.3032, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0219, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.9295, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9295, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(303.3887, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9481, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(3.7207, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9164, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.7207, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(254.5172, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7047, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.2283, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2854, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2283, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1096.9214, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0319, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(6.5497, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4118, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(6.5497, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(237.1325, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2144, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.4954, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4954, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(190.2761, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9028, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.4268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4268, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(645.2542, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9354, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.1468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(484.9986, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8601, device='cuda:0', grad_fn=<MseLossBackward0>)
