
epoch: 11 loss: tensor(1.4900, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9298, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4900, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4900, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21102444., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9253, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 12 loss: tensor(0.7544, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8056, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7544, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7544, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21102836., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8011, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 13 loss: tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1945, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21142346., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1900, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 14 loss: tensor(1.0783, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9810, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0783, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0783, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21102092., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9766, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(1.1752, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1752, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1752, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21128570., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8653, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(1.3169, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9067, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3169, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3169, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21083558., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9020, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(0.9098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0972, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9098, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21142056., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0928, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(0.9744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21134940., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0888, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(0.8781, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0040, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8781, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8781, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21130890., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9996, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(0.9784, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0720, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9784, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9784, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21103132., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0675, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(1.3282, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3282, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3282, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21064444., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9045, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(0.7670, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7670, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7670, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21119060., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8583, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(0.6053, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1288, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6053, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6053, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21129640., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1245, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 24 loss: tensor(1.0360, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0422, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0360, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0360, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21093874., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0377, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(0.9574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0487, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21155400., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0441, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(0.5916, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7675, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5916, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5916, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21123214., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7631, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(1.0333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9524, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0333, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21116644., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9477, device='cuda:0', grad_fn=<MseLossBackward0>)
