epoch: 1 loss: tensor(719.4696, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1621, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(719.4696, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6345.2412, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4619, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(775.6843, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4036, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(775.6843, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6294.8940, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.0894, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(801.3456, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7409, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(801.3456, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6191.2334, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.8157, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(739.4742, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0026, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(739.4742, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(12104.1162, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7503, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(689.8461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(689.8461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1801.1560, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7445, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(724.2888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1614, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(724.2888, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1980.7981, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4087, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(776.7482, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6298, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(776.7482, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2642.6267, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4358, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(713.4017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7078, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(713.4017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2910.0190, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7679, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(808.3734, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4965, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(808.3734, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(9095.9863, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4540, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(662.4538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4999, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(662.4538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5584.7280, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3405, device='cuda:0', grad_fn=<MseLossBackward0>)
