epoch: 1 loss: tensor(27.1951, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3789, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(27.1951, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3780, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(43.9069, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8234, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(43.9069, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2742, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1687, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(11.4909, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.0025, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(11.4909, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.3969, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(54.4492, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0727, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(54.4492, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7612, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.2014, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(10.3741, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4574, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(10.3741, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8564, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.1127, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(5.0851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4328, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(5.0851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1844, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0587, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(24.1777, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(24.1777, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1910, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.2604, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(57.7484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8046, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(57.7484, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7211, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9397, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(6.9040, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1120, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(6.9040, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.3302, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4949, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(54.0318, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2521, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(54.0318, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8787, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.6761, device='cuda:0', grad_fn=<MseLossBackward0>)
