epoch: 14 loss: tensor(197.1333, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1333, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8848, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0259, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030604., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3034, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 15 loss: tensor(197.1362, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2416, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1362, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9930, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2240, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030648., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2416, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 16 loss: tensor(197.1300, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1300, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1003, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0531, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030552., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8363, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 17 loss: tensor(197.1345, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3295, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1345, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8862, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0781, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030780., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3295, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 18 loss: tensor(197.1313, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0668, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1313, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7878, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030688., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0668, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 19 loss: tensor(197.1326, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2631, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1326, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8179, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9972, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030420., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2631, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 20 loss: tensor(197.1320, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8691, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1320, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3612, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9836, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030158., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8692, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 21 loss: tensor(197.1310, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0172, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1310, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8411, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9314, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030316., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0172, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 22 loss: tensor(197.1320, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3183, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1320, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030640., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3183, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 23 loss: tensor(197.1318, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9825, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1318, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5457, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8898, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030326., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9825, device='cuda:0', grad_fn=<MseLossBackward0>)
